1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EF0000002AE5B321
Is Mission Active?  true
Mission Start:  Mon Aug 03 11:57:00 MST 2015
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  144
Total Samples:  2701
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/3/15 11:57:00 AM,C,22.5
8/3/15 3:57:00 PM,C,27.5
8/3/15 7:57:00 PM,C,18
8/3/15 11:57:00 PM,C,13.5
8/4/15 3:57:00 AM,C,13.5
8/4/15 7:57:00 AM,C,15
8/4/15 11:57:00 AM,C,26
8/4/15 3:57:00 PM,C,29
8/4/15 7:57:00 PM,C,22
8/4/15 11:57:00 PM,C,15
8/5/15 3:57:00 AM,C,14
8/5/15 7:57:00 AM,C,16
8/5/15 11:57:00 AM,C,28.5
8/5/15 3:57:00 PM,C,32.5
8/5/15 7:57:00 PM,C,22.5
8/5/15 11:57:00 PM,C,16.5
8/6/15 3:57:00 AM,C,12.5
8/6/15 7:57:00 AM,C,17
8/6/15 11:57:00 AM,C,28.5
8/6/15 3:57:00 PM,C,33.5
8/6/15 7:57:00 PM,C,24.5
8/6/15 11:57:00 PM,C,17.5
8/7/15 3:57:00 AM,C,18.5
8/7/15 7:57:00 AM,C,18
8/7/15 11:57:00 AM,C,25
8/7/15 3:57:00 PM,C,17
8/7/15 7:57:00 PM,C,12
8/7/15 11:57:00 PM,C,12
8/8/15 3:57:00 AM,C,11.5
8/8/15 7:57:00 AM,C,12.5
8/8/15 11:57:00 AM,C,21.5
8/8/15 3:57:00 PM,C,25.5
8/8/15 7:57:00 PM,C,17.5
8/8/15 11:57:00 PM,C,12
8/9/15 3:57:00 AM,C,10.5
8/9/15 7:57:00 AM,C,14.5
8/9/15 11:57:00 AM,C,23
8/9/15 3:57:00 PM,C,29
8/9/15 7:57:00 PM,C,21.5
8/9/15 11:57:00 PM,C,14
8/10/15 3:57:00 AM,C,11.5
8/10/15 7:57:00 AM,C,14
8/10/15 11:57:00 AM,C,28
8/10/15 3:57:00 PM,C,24.5
8/10/15 7:57:00 PM,C,19.5
8/10/15 11:57:00 PM,C,19
8/11/15 3:57:00 AM,C,13.5
8/11/15 7:57:00 AM,C,17
8/11/15 11:57:00 AM,C,24
8/11/15 3:57:00 PM,C,30
8/11/15 7:57:00 PM,C,15.5
8/11/15 11:57:00 PM,C,12
8/12/15 3:57:00 AM,C,12.5
8/12/15 7:57:00 AM,C,14.5
8/12/15 11:57:00 AM,C,24.5
8/12/15 3:57:00 PM,C,23.5
8/12/15 7:57:00 PM,C,21
8/12/15 11:57:00 PM,C,15
8/13/15 3:57:00 AM,C,16
8/13/15 7:57:00 AM,C,16
8/13/15 11:57:00 AM,C,26.5
8/13/15 3:57:00 PM,C,33
8/13/15 7:57:00 PM,C,23
8/13/15 11:57:00 PM,C,16.5
8/14/15 3:57:00 AM,C,15
8/14/15 7:57:00 AM,C,17
8/14/15 11:57:00 AM,C,29.5
8/14/15 3:57:00 PM,C,34
8/14/15 7:57:00 PM,C,24
8/14/15 11:57:00 PM,C,17
8/15/15 3:57:00 AM,C,15.5
8/15/15 7:57:00 AM,C,17.5
8/15/15 11:57:00 AM,C,29.5
8/15/15 3:57:00 PM,C,34.5
8/15/15 7:57:00 PM,C,25
8/15/15 11:57:00 PM,C,18
8/16/15 3:57:00 AM,C,14.5
8/16/15 7:57:00 AM,C,16.5
8/16/15 11:57:00 AM,C,29.5
8/16/15 3:57:00 PM,C,32.5
8/16/15 7:57:00 PM,C,24.5
8/16/15 11:57:00 PM,C,17
8/17/15 3:57:00 AM,C,16
8/17/15 7:57:00 AM,C,17
8/17/15 11:57:00 AM,C,26
8/17/15 3:57:00 PM,C,32
8/17/15 7:57:00 PM,C,20.5
8/17/15 11:57:00 PM,C,17.5
8/18/15 3:57:00 AM,C,12.5
8/18/15 7:57:00 AM,C,14
8/18/15 11:57:00 AM,C,27.5
8/18/15 3:57:00 PM,C,30.5
8/18/15 7:57:00 PM,C,22.5
8/18/15 11:57:00 PM,C,16.5
8/19/15 3:57:00 AM,C,11.5
8/19/15 7:57:00 AM,C,12
8/19/15 11:57:00 AM,C,24.5
8/19/15 3:57:00 PM,C,27
8/19/15 7:57:00 PM,C,19.5
8/19/15 11:57:00 PM,C,16
8/20/15 3:57:00 AM,C,13.5
8/20/15 7:57:00 AM,C,14
8/20/15 11:57:00 AM,C,25
8/20/15 3:57:00 PM,C,29
8/20/15 7:57:00 PM,C,21.5
8/20/15 11:57:00 PM,C,14.5
8/21/15 3:57:00 AM,C,13
8/21/15 7:57:00 AM,C,14
8/21/15 11:57:00 AM,C,27
8/21/15 3:57:00 PM,C,30
8/21/15 7:57:00 PM,C,20
8/21/15 11:57:00 PM,C,15.5
8/22/15 3:57:00 AM,C,12
8/22/15 7:57:00 AM,C,14
8/22/15 11:57:00 AM,C,26.5
8/22/15 3:57:00 PM,C,29.5
8/22/15 7:57:00 PM,C,21.5
8/22/15 11:57:00 PM,C,15.5
8/23/15 3:57:00 AM,C,14
8/23/15 7:57:00 AM,C,15.5
8/23/15 11:57:00 AM,C,24
8/23/15 3:57:00 PM,C,29
8/23/15 7:57:00 PM,C,20
8/23/15 11:57:00 PM,C,13.5
8/24/15 3:57:00 AM,C,11
8/24/15 7:57:00 AM,C,13.5
8/24/15 11:57:00 AM,C,27
8/24/15 3:57:00 PM,C,24
8/24/15 7:57:00 PM,C,21.5
8/24/15 11:57:00 PM,C,16
8/25/15 3:57:00 AM,C,14.5
8/25/15 7:57:00 AM,C,17
8/25/15 11:57:00 AM,C,28
8/25/15 3:57:00 PM,C,28
8/25/15 7:57:00 PM,C,16
8/25/15 11:57:00 PM,C,15
8/26/15 3:57:00 AM,C,12
8/26/15 7:57:00 AM,C,13.5
8/26/15 11:57:00 AM,C,15
8/26/15 3:57:00 PM,C,25.5
8/26/15 7:57:00 PM,C,16
8/26/15 11:57:00 PM,C,13.5
8/27/15 3:57:00 AM,C,12
8/27/15 7:57:00 AM,C,13
