1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6600000021374521
Is Mission Active?  false
Mission Start:  Sun Sep 04 13:02:00 MST 2016
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2396
Total Samples:  14199
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/4/16 1:02:00 PM,C,12.5
9/4/16 5:02:00 PM,C,21
9/4/16 9:02:00 PM,C,12
9/5/16 1:02:00 AM,C,10
9/5/16 5:02:00 AM,C,8.5
9/5/16 9:02:00 AM,C,9.5
9/5/16 1:02:00 PM,C,13
9/5/16 5:02:00 PM,C,27.5
9/5/16 9:02:00 PM,C,13
9/6/16 1:02:00 AM,C,10.5
9/6/16 5:02:00 AM,C,10
9/6/16 9:02:00 AM,C,11.5
9/6/16 1:02:00 PM,C,14
9/6/16 5:02:00 PM,C,22.5
9/6/16 9:02:00 PM,C,13
9/7/16 1:02:00 AM,C,10.5
9/7/16 5:02:00 AM,C,9
9/7/16 9:02:00 AM,C,10
9/7/16 1:02:00 PM,C,14.5
9/7/16 5:02:00 PM,C,21.5
9/7/16 9:02:00 PM,C,12
9/8/16 1:02:00 AM,C,9
9/8/16 5:02:00 AM,C,7.5
9/8/16 9:02:00 AM,C,9
9/8/16 1:02:00 PM,C,13
9/8/16 5:02:00 PM,C,33.5
9/8/16 9:02:00 PM,C,13
9/9/16 1:02:00 AM,C,9.5
9/9/16 5:02:00 AM,C,8.5
9/9/16 9:02:00 AM,C,10.5
9/9/16 1:02:00 PM,C,13.5
9/9/16 5:02:00 PM,C,34
9/9/16 9:02:00 PM,C,13
9/10/16 1:02:00 AM,C,9.5
9/10/16 5:02:00 AM,C,8.5
9/10/16 9:02:00 AM,C,9.5
9/10/16 1:02:00 PM,C,14
9/10/16 5:02:00 PM,C,32.5
9/10/16 9:02:00 PM,C,13
9/11/16 1:02:00 AM,C,10
9/11/16 5:02:00 AM,C,9
9/11/16 9:02:00 AM,C,12.5
9/11/16 1:02:00 PM,C,17
9/11/16 5:02:00 PM,C,28.5
9/11/16 9:02:00 PM,C,13
9/12/16 1:02:00 AM,C,10
9/12/16 5:02:00 AM,C,9
9/12/16 9:02:00 AM,C,10.5
9/12/16 1:02:00 PM,C,15
9/12/16 5:02:00 PM,C,19.5
9/12/16 9:02:00 PM,C,11
9/13/16 1:02:00 AM,C,9
9/13/16 5:02:00 AM,C,7.5
9/13/16 9:02:00 AM,C,9
9/13/16 1:02:00 PM,C,13.5
9/13/16 5:02:00 PM,C,28.5
9/13/16 9:02:00 PM,C,12.5
9/14/16 1:02:00 AM,C,10.5
9/14/16 5:02:00 AM,C,9
9/14/16 9:02:00 AM,C,10
9/14/16 1:02:00 PM,C,13
9/14/16 5:02:00 PM,C,13.5
9/14/16 9:02:00 PM,C,9.5
9/15/16 1:02:00 AM,C,8.5
9/15/16 5:02:00 AM,C,5.5
9/15/16 9:02:00 AM,C,6
9/15/16 1:02:00 PM,C,8.5
9/15/16 5:02:00 PM,C,23.5
9/15/16 9:02:00 PM,C,8
9/16/16 1:02:00 AM,C,5.5
9/16/16 5:02:00 AM,C,4.5
9/16/16 9:02:00 AM,C,6.5
9/16/16 1:02:00 PM,C,10.5
9/16/16 5:02:00 PM,C,26
9/16/16 9:02:00 PM,C,9.5
9/17/16 1:02:00 AM,C,6.5
9/17/16 5:02:00 AM,C,5
9/17/16 9:02:00 AM,C,7
9/17/16 1:02:00 PM,C,11.5
9/17/16 5:02:00 PM,C,26.5
9/17/16 9:02:00 PM,C,9.5
9/18/16 1:02:00 AM,C,6.5
9/18/16 5:02:00 AM,C,5
9/18/16 9:02:00 AM,C,7
9/18/16 1:02:00 PM,C,12
9/18/16 5:02:00 PM,C,28
9/18/16 9:02:00 PM,C,10.5
9/19/16 1:02:00 AM,C,7.5
9/19/16 5:02:00 AM,C,6.5
9/19/16 9:02:00 AM,C,8.5
9/19/16 1:02:00 PM,C,14
9/19/16 5:02:00 PM,C,29.5
9/19/16 9:02:00 PM,C,11.5
9/20/16 1:02:00 AM,C,9.5
9/20/16 5:02:00 AM,C,8.5
9/20/16 9:02:00 AM,C,11
9/20/16 1:02:00 PM,C,17.5
9/20/16 5:02:00 PM,C,13.5
9/20/16 9:02:00 PM,C,11.5
9/21/16 1:02:00 AM,C,10.5
9/21/16 5:02:00 AM,C,10
9/21/16 9:02:00 AM,C,11
9/21/16 1:02:00 PM,C,13.5
9/21/16 5:02:00 PM,C,17
9/21/16 9:02:00 PM,C,10.5
9/22/16 1:02:00 AM,C,10
9/22/16 5:02:00 AM,C,10
9/22/16 9:02:00 AM,C,10.5
9/22/16 1:02:00 PM,C,13
9/22/16 5:02:00 PM,C,16.5
9/22/16 9:02:00 PM,C,10.5
9/23/16 1:02:00 AM,C,9.5
9/23/16 5:02:00 AM,C,8
9/23/16 9:02:00 AM,C,4.5
9/23/16 1:02:00 PM,C,5.5
9/23/16 5:02:00 PM,C,11
9/23/16 9:02:00 PM,C,5
9/24/16 1:02:00 AM,C,4.5
9/24/16 5:02:00 AM,C,4.5
9/24/16 9:02:00 AM,C,5
9/24/16 1:02:00 PM,C,9
9/24/16 5:02:00 PM,C,10.5
9/24/16 9:02:00 PM,C,5.5
9/25/16 1:02:00 AM,C,3.5
9/25/16 5:02:00 AM,C,3
9/25/16 9:02:00 AM,C,3.5
9/25/16 1:02:00 PM,C,8
9/25/16 5:02:00 PM,C,17.5
9/25/16 9:02:00 PM,C,7
9/26/16 1:02:00 AM,C,5.5
9/26/16 5:02:00 AM,C,4.5
9/26/16 9:02:00 AM,C,5
9/26/16 1:02:00 PM,C,9
9/26/16 5:02:00 PM,C,18.5
9/26/16 9:02:00 PM,C,8.5
9/27/16 1:02:00 AM,C,6.5
9/27/16 5:02:00 AM,C,5
9/27/16 9:02:00 AM,C,6
9/27/16 1:02:00 PM,C,10
9/27/16 5:02:00 PM,C,20
9/27/16 9:02:00 PM,C,9.5
9/28/16 1:02:00 AM,C,7.5
9/28/16 5:02:00 AM,C,6.5
9/28/16 9:02:00 AM,C,7
9/28/16 1:02:00 PM,C,12.5
9/28/16 5:02:00 PM,C,20.5
9/28/16 9:02:00 PM,C,11.5
9/29/16 1:02:00 AM,C,10
9/29/16 5:02:00 AM,C,9.5
9/29/16 9:02:00 AM,C,9.5
9/29/16 1:02:00 PM,C,11.5
9/29/16 5:02:00 PM,C,10.5
9/29/16 9:02:00 PM,C,9
9/30/16 1:02:00 AM,C,8.5
9/30/16 5:02:00 AM,C,8.5
9/30/16 9:02:00 AM,C,9
9/30/16 1:02:00 PM,C,12
9/30/16 5:02:00 PM,C,18
9/30/16 9:02:00 PM,C,9
10/1/16 1:02:00 AM,C,7
10/1/16 5:02:00 AM,C,6
10/1/16 9:02:00 AM,C,7
10/1/16 1:02:00 PM,C,11.5
10/1/16 5:02:00 PM,C,16
10/1/16 9:02:00 PM,C,8.5
10/2/16 1:02:00 AM,C,6.5
10/2/16 5:02:00 AM,C,6
10/2/16 9:02:00 AM,C,7.5
10/2/16 1:02:00 PM,C,13
10/2/16 5:02:00 PM,C,15.5
10/2/16 9:02:00 PM,C,9.5
10/3/16 1:02:00 AM,C,9.5
10/3/16 5:02:00 AM,C,8
10/3/16 9:02:00 AM,C,8.5
10/3/16 1:02:00 PM,C,8.5
10/3/16 5:02:00 PM,C,12
10/3/16 9:02:00 PM,C,4.5
10/4/16 1:02:00 AM,C,2
10/4/16 5:02:00 AM,C,1.5
10/4/16 9:02:00 AM,C,2.5
10/4/16 1:02:00 PM,C,6
10/4/16 5:02:00 PM,C,12.5
10/4/16 9:02:00 PM,C,4
10/5/16 1:02:00 AM,C,3.5
10/5/16 5:02:00 AM,C,4
10/5/16 9:02:00 AM,C,4
